,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
72,72,gain,safe,0.8626517427929868,0.8513399225207846,0.48384165385207406,0.8513399225207846,0.13734825720701316,0.8626517427929868,0.2,0.72,0.0
73,73,loss,gamble,0.8616892084344568,-0.5206898719962053,-0.5206898719962053,-0.8865681505652133,0.8616892084344568,0.13831079156554324,-0.3,0.0,-1.5
74,74,mix,gamble,0.5269064994872131,0.021546013602643965,0.021546013602643965,0.0,0.5269064994872131,0.47309350051278676,0.0,2.25,-1.5
75,75,gain,gamble,0.13206942167713942,0.5358867312681466,0.5358867312681466,0.9124435365554808,0.13206942167713942,0.8679305783228606,0.4,2.0,0.0
76,76,gain,safe,0.8894638192893044,0.9502002165056764,0.5331450292392629,0.9502002165056764,0.11053618071069557,0.8894638192893044,0.6,1.9,0.0
77,77,loss,gamble,0.8749694916843977,-0.49744190155408813,-0.49744190155408813,-0.8865681505652133,0.8749694916843977,0.12503050831560225,-0.3,0.0,-0.95
78,78,loss,gamble,0.8758544812046988,-0.46059081380627,-0.46059081380627,-0.8513399225207846,0.8758544812046988,0.12414551879530117,-0.2,0.0,-0.44
79,79,loss,gamble,0.8887385345860891,-0.4709841296069131,-0.4709841296069131,-0.8865681505652133,0.8887385345860891,0.11126146541391096,-0.3,0.0,-0.55
80,80,loss,gamble,0.8860351616532065,-0.5400268824271907,-0.5400268824271907,-0.9502002165056764,0.8860351616532065,0.11396483834679348,-0.6,0.0,-2.16
81,81,mix,safe,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.5,-1.5
82,82,gain,safe,0.8822398213871445,0.9330329915368074,0.5302702408070094,0.9330329915368074,0.11776017861285547,0.8822398213871445,0.5,1.8,0.0
83,83,gain,safe,0.8909282791337525,0.8865681505652133,0.4665164957684037,0.8865681505652133,0.10907172086624749,0.8909282791337525,0.3,0.5,0.0
84,84,loss,gamble,0.8909282791337525,-0.4665164957684037,-0.4665164957684037,-0.8865681505652133,0.8909282791337525,0.1090717208662475,-0.3,0.0,-0.5
85,85,gain,safe,0.8669654193697317,0.8865681505652133,0.5116901522785812,0.8865681505652133,0.1330345806302682,0.8669654193697317,0.3,1.26,0.0
86,86,mix,gamble,0.5252700808612826,0.020233303802047853,0.020233303802047853,0.0,0.5252700808612826,0.4747299191387174,0.0,1.2,-0.8
87,87,mix,gamble,0.5417568934569192,0.033483504231596295,0.033483504231596295,0.0,0.5417568934569192,0.45824310654308065,0.0,1.0,-0.5
88,88,mix,safe,0.525326803868972,0.0,-0.020278798677164644,0.0,0.474673196131028,0.525326803868972,0.0,0.73,-1.1
89,89,loss,gamble,0.86640974714267,-0.4774237935204091,-0.4774237935204091,-0.8513399225207846,0.86640974714267,0.13359025285732998,-0.2,0.0,-0.63
90,90,gain,safe,0.9009991175525638,0.9330329915368074,0.49135788863808577,0.9330329915368074,0.09900088244743624,0.9009991175525638,0.5,0.84,0.0
91,91,loss,gamble,0.887427463556489,-0.499497735645875,-0.499497735645875,-0.9124435365554808,0.887427463556489,0.11257253644351103,-0.4,0.0,-0.99
92,92,gain,safe,0.8766079473098898,0.9502002165056764,0.5580615870169522,0.9502002165056764,0.12339205269011012,0.8766079473098898,0.6,3.0,0.0
93,93,mix,safe,0.5688895071701495,0.0,-0.05546436127935278,0.0,0.4311104928298505,0.5688895071701495,0.0,0.24,-0.8
94,94,mix,gamble,0.5465791921642649,0.037371715020746876,0.037371715020746876,0.0,0.5465791921642649,0.4534208078357351,0.0,3.0,-1.5
95,95,mix,gamble,0.48999034547733106,-0.008008793634544598,-0.008008793634544598,0.0,0.48999034547733106,0.510009654522669,0.0,0.25,-0.3
96,96,mix,safe,0.5898750590502175,0.0,-0.07268978057052772,0.0,0.4101249409497825,0.5898750590502175,0.0,0.16,-0.8
