,model_name,bic_mean,bic_sum,aic_mean,aic_sum,rss_mean,rss_sum,n_params
43,Base_util_dCPE,20.77560275966002,436.28765795286046,8.697929236119908,182.65651395851805,28.772130107033295,604.2147322476992,8
44,Base_util_tRegret,20.753792578047683,435.82964413900135,8.719739417732248,183.11452777237722,28.94148879759788,607.7712647495555,8
45,Base_util_dRegret,20.700332403498415,434.70698047346673,8.773199592281516,184.23719143791183,29.632648146436456,622.2856110751655,8
46,Base_util_tRelief,20.770791703310078,436.18662576951164,8.702740292469853,182.75754614186692,28.87413325703182,606.3567983976682,8
47,Base_util_dRelief,20.723734944811156,435.1984338410343,8.749797050968771,183.7457380703442,29.599031566296656,621.5796628922297,8
48,Base_util_RPE_tCPE,24.823768226175623,521.299132749688,9.81670525314045,206.15081031594943,26.63123717316117,559.2559806363846,9
49,Base_util_RPE_dCPE,24.822782503443563,521.2784325723148,9.818183837238532,206.1818605820092,26.671615710909535,560.1039299291002,9
50,Base_util_tRegret_tRelief,24.8017246973768,520.8362186449128,9.849770546338684,206.84518147311235,26.991846668917983,566.8287800472776,9
51,Base_util_dRegret_dRelief,24.747473543921924,519.6969444223604,9.931147276520994,208.55409280694087,27.64844217969428,580.6172857735799,9
52,Base_util_nRPE_tRegret_pRPE_tRelief,32.731845645900954,687.36875856392,12.064513868367337,253.35479123571406,25.123704011529725,527.5977842421242,11
53,Base_util_nRPE_dRegret_pRPE_dRelief,32.72877686914668,687.3043142520802,12.072185810253018,253.51590201531337,25.166766658784198,528.5020998344681,11
54,nRPE_tReg_pRPE_tRel_util,32.69457148717496,686.5860012306742,12.157699265182336,255.31168456882907,25.450864130562216,534.4681467418065,11
55,nRPE_dReg_pRPE_dRel_util,32.58177053568109,684.2171812493028,12.439701643917003,261.23373452225707,26.96374592063209,566.2386643332738,11
